Date,Fajr,Sunrise,Dhuhr,Asr,Maghrib,Isha,Midnight
01,05:12 AM,06:33 AM,12:44 PM,04:11 PM,06:55 PM,08:11 PM,12:04 AM
02,05:11 AM,06:32 AM,12:44 PM,04:10 PM,06:55 PM,08:11 PM,12:03 AM
03,05:10 AM,06:31 AM,12:43 PM,04:10 PM,06:56 PM,08:12 PM,12:03 AM
04,05:09 AM,06:30 AM,12:43 PM,04:10 PM,06:56 PM,08:12 PM,12:03 AM
05,05:08 AM,06:29 AM,12:43 PM,04:10 PM,06:57 PM,08:13 PM,12:03 AM
06,05:07 AM,06:28 AM,12:42 PM,04:09 PM,06:57 PM,08:13 PM,12:02 AM
07,05:06 AM,06:27 AM,12:42 PM,04:09 PM,06:57 PM,08:14 PM,12:02 AM
08,05:05 AM,06:26 AM,12:42 PM,04:09 PM,06:58 PM,08:14 PM,12:02 AM
09,05:04 AM,06:25 AM,12:42 PM,04:08 PM,06:58 PM,08:15 PM,12:01 AM
10,05:03 AM,06:24 AM,12:41 PM,04:08 PM,06:58 PM,08:15 PM,12:01 AM
11,05:02 AM,06:23 AM,12:41 PM,04:08 PM,06:59 PM,08:16 PM,12:01 AM
12,05:01 AM,06:22 AM,12:41 PM,04:08 PM,06:59 PM,08:16 PM,12:00 AM
13,05:00 AM,06:21 AM,12:40 PM,04:07 PM,07:00 PM,08:17 PM,12:00 AM
14,04:59 AM,06:20 AM,12:40 PM,04:07 PM,07:00 PM,08:17 PM,11:60 PM
15,04:58 AM,06:20 AM,12:40 PM,04:07 PM,07:00 PM,08:18 PM,11:59 PM
16,04:57 AM,06:19 AM,12:40 PM,04:06 PM,07:01 PM,08:18 PM,11:59 PM
17,04:56 AM,06:18 AM,12:39 PM,04:06 PM,07:01 PM,08:19 PM,11:59 PM
18,04:55 AM,06:17 AM,12:39 PM,04:06 PM,07:01 PM,08:19 PM,11:58 PM
19,04:54 AM,06:16 AM,12:39 PM,04:05 PM,07:02 PM,08:20 PM,11:58 PM
20,04:53 AM,06:15 AM,12:39 PM,04:05 PM,07:02 PM,08:20 PM,11:58 PM
21,04:52 AM,06:14 AM,12:39 PM,04:05 PM,07:03 PM,08:21 PM,11:58 PM
22,04:51 AM,06:14 AM,12:38 PM,04:04 PM,07:03 PM,08:21 PM,11:57 PM
23,04:50 AM,06:13 AM,12:38 PM,04:04 PM,07:03 PM,08:22 PM,11:57 PM
24,04:49 AM,06:12 AM,12:38 PM,04:04 PM,07:04 PM,08:23 PM,11:57 PM
25,04:48 AM,06:11 AM,12:38 PM,04:03 PM,07:04 PM,08:23 PM,11:56 PM
26,04:47 AM,06:10 AM,12:38 PM,04:03 PM,07:05 PM,08:24 PM,11:56 PM
27,04:46 AM,06:10 AM,12:37 PM,04:03 PM,07:05 PM,08:24 PM,11:56 PM
28,04:45 AM,06:09 AM,12:37 PM,04:02 PM,07:06 PM,08:25 PM,11:56 PM
29,04:44 AM,06:08 AM,12:37 PM,04:02 PM,07:06 PM,08:26 PM,11:55 PM
30,04:43 AM,06:08 AM,12:37 PM,04:02 PM,07:06 PM,08:26 PM,11:55 PM
