Date,Fajr,Sunrise,Dhuhr,Asr,Maghrib,Isha,Midnight
01,05:40 AM,07:04 AM,12:28 PM,03:32 PM,05:53 PM,07:13 PM,11:47 PM
02,05:40 AM,07:04 AM,12:29 PM,03:33 PM,05:53 PM,07:13 PM,11:47 PM
03,05:41 AM,07:05 AM,12:29 PM,03:33 PM,05:53 PM,07:13 PM,11:47 PM
04,05:41 AM,07:06 AM,12:30 PM,03:33 PM,05:53 PM,07:13 PM,11:47 PM
05,05:42 AM,07:06 AM,12:30 PM,03:33 PM,05:54 PM,07:13 PM,11:48 PM
06,05:43 AM,07:07 AM,12:30 PM,03:33 PM,05:54 PM,07:14 PM,11:49 PM
07,05:43 AM,07:08 AM,12:31 PM,03:33 PM,05:54 PM,07:14 PM,11:49 PM
08,05:44 AM,07:08 AM,12:31 PM,03:34 PM,05:54 PM,07:14 PM,11:49 PM
09,05:44 AM,07:09 AM,12:32 PM,03:34 PM,05:54 PM,07:14 PM,11:49 PM
10,05:45 AM,07:09 AM,12:32 PM,03:34 PM,05:55 PM,07:15 PM,11:50 PM
11,05:45 AM,07:10 AM,12:33 PM,03:35 PM,05:55 PM,07:15 PM,11:50 PM
12,05:46 AM,07:11 AM,12:33 PM,03:35 PM,05:55 PM,07:15 PM,11:51 PM
13,05:47 AM,07:11 AM,12:33 PM,03:35 PM,05:56 PM,07:16 PM,11:52 PM
14,05:47 AM,07:12 AM,12:34 PM,03:36 PM,05:56 PM,07:16 PM,11:52 PM
15,05:48 AM,07:12 AM,12:34 PM,03:36 PM,05:56 PM,07:16 PM,11:52 PM
16,05:48 AM,07:13 AM,12:35 PM,03:36 PM,05:57 PM,07:17 PM,11:53 PM
17,05:49 AM,07:14 AM,12:35 PM,03:37 PM,05:57 PM,07:17 PM,11:53 PM
18,05:49 AM,07:14 AM,12:36 PM,03:37 PM,05:57 PM,07:18 PM,11:53 PM
19,05:50 AM,07:15 AM,12:36 PM,03:38 PM,05:58 PM,07:18 PM,11:54 PM
20,05:50 AM,07:15 AM,12:37 PM,03:38 PM,05:58 PM,07:19 PM,11:54 PM
21,05:51 AM,07:16 AM,12:37 PM,03:39 PM,05:59 PM,07:19 PM,11:55 PM
22,05:51 AM,07:16 AM,12:38 PM,03:39 PM,05:59 PM,07:20 PM,11:55 PM
23,05:52 AM,07:17 AM,12:38 PM,03:40 PM,06:00 PM,07:20 PM,11:56 PM
24,05:52 AM,07:17 AM,12:39 PM,03:40 PM,06:00 PM,07:21 PM,11:56 PM
25,05:53 AM,07:18 AM,12:39 PM,03:41 PM,06:01 PM,07:21 PM,11:57 PM
26,05:53 AM,07:18 AM,12:40 PM,03:41 PM,06:01 PM,07:22 PM,11:57 PM
27,05:54 AM,07:19 AM,12:40 PM,03:42 PM,06:02 PM,07:22 PM,11:58 PM
28,05:54 AM,07:19 AM,12:41 PM,03:42 PM,06:03 PM,07:23 PM,11:59 PM
29,05:55 AM,07:19 AM,12:41 PM,03:43 PM,06:03 PM,07:23 PM,11:59 PM
30,05:55 AM,07:20 AM,12:42 PM,03:44 PM,06:04 PM,07:24 PM,11:60 PM
31,05:55 AM,07:20 AM,12:42 PM,03:44 PM,06:04 PM,07:25 PM,11:60 PM
