Date,Fajr,Sunrise,Dhuhr,Asr,Maghrib,Isha,Midnight
01,04:25 AM,05:57 AM,12:43 PM,04:00 PM,07:29 PM,08:56 PM,11:57 PM
02,04:26 AM,05:58 AM,12:43 PM,04:00 PM,07:29 PM,08:56 PM,11:58 PM
03,04:26 AM,05:58 AM,12:44 PM,04:00 PM,07:29 PM,08:56 PM,11:58 PM
04,04:27 AM,05:58 AM,12:44 PM,04:01 PM,07:29 PM,08:56 PM,11:58 PM
05,04:27 AM,05:59 AM,12:44 PM,04:01 PM,07:29 PM,08:56 PM,11:58 PM
06,04:28 AM,05:59 AM,12:44 PM,04:01 PM,07:29 PM,08:55 PM,11:59 PM
07,04:28 AM,06:00 AM,12:44 PM,04:02 PM,07:29 PM,08:55 PM,11:59 PM
08,04:29 AM,06:00 AM,12:45 PM,04:02 PM,07:29 PM,08:55 PM,11:59 PM
09,04:29 AM,06:00 AM,12:45 PM,04:02 PM,07:29 PM,08:55 PM,11:59 PM
10,04:30 AM,06:01 AM,12:45 PM,04:02 PM,07:29 PM,08:55 PM,11:60 PM
11,04:30 AM,06:01 AM,12:45 PM,04:03 PM,07:29 PM,08:54 PM,11:60 PM
12,04:31 AM,06:02 AM,12:45 PM,04:03 PM,07:29 PM,08:54 PM,12:00 AM
13,04:31 AM,06:02 AM,12:45 PM,04:03 PM,07:28 PM,08:54 PM,11:60 PM
14,04:32 AM,06:02 AM,12:45 PM,04:04 PM,07:28 PM,08:54 PM,12:00 AM
15,04:32 AM,06:03 AM,12:45 PM,04:04 PM,07:28 PM,08:53 PM,12:00 AM
16,04:33 AM,06:03 AM,12:46 PM,04:04 PM,07:28 PM,08:53 PM,12:01 AM
17,04:34 AM,06:04 AM,12:46 PM,04:05 PM,07:28 PM,08:52 PM,12:01 AM
18,04:34 AM,06:04 AM,12:46 PM,04:05 PM,07:27 PM,08:52 PM,12:01 AM
19,04:35 AM,06:05 AM,12:46 PM,04:05 PM,07:27 PM,08:52 PM,12:01 AM
20,04:36 AM,06:05 AM,12:46 PM,04:06 PM,07:27 PM,08:51 PM,12:02 AM
21,04:36 AM,06:05 AM,12:46 PM,04:06 PM,07:26 PM,08:51 PM,12:01 AM
22,04:37 AM,06:06 AM,12:46 PM,04:06 PM,07:26 PM,08:50 PM,12:02 AM
23,04:37 AM,06:06 AM,12:46 PM,04:06 PM,07:26 PM,08:50 PM,12:02 AM
24,04:38 AM,06:07 AM,12:46 PM,04:07 PM,07:25 PM,08:49 PM,12:02 AM
25,04:39 AM,06:07 AM,12:46 PM,04:07 PM,07:25 PM,08:48 PM,12:02 AM
26,04:39 AM,06:08 AM,12:46 PM,04:07 PM,07:25 PM,08:48 PM,12:02 AM
27,04:40 AM,06:08 AM,12:46 PM,04:07 PM,07:24 PM,08:47 PM,12:02 AM
28,04:41 AM,06:09 AM,12:46 PM,04:08 PM,07:24 PM,08:47 PM,12:03 AM
29,04:41 AM,06:09 AM,12:46 PM,04:08 PM,07:23 PM,08:46 PM,12:02 AM
30,04:42 AM,06:09 AM,12:46 PM,04:08 PM,07:23 PM,08:45 PM,12:03 AM
31,04:43 AM,06:10 AM,12:46 PM,04:08 PM,07:22 PM,08:45 PM,12:03 AM
