Date,Fajr,Sunrise,Dhuhr,Asr,Maghrib,Isha,Midnight
01,04:23 AM,05:54 AM,12:37 PM,03:55 PM,07:21 PM,08:46 PM,11:52 PM
02,04:23 AM,05:54 AM,12:37 PM,03:55 PM,07:21 PM,08:47 PM,11:52 PM
03,04:22 AM,05:53 AM,12:38 PM,03:55 PM,07:22 PM,08:48 PM,11:52 PM
04,04:22 AM,05:53 AM,12:38 PM,03:55 PM,07:22 PM,08:48 PM,11:52 PM
05,04:22 AM,05:53 AM,12:38 PM,03:55 PM,07:23 PM,08:49 PM,11:53 PM
06,04:22 AM,05:53 AM,12:38 PM,03:55 PM,07:23 PM,08:49 PM,11:53 PM
07,04:22 AM,05:53 AM,12:38 PM,03:55 PM,07:23 PM,08:50 PM,11:53 PM
08,04:21 AM,05:53 AM,12:38 PM,03:55 PM,07:24 PM,08:50 PM,11:53 PM
09,04:21 AM,05:53 AM,12:39 PM,03:55 PM,07:24 PM,08:51 PM,11:53 PM
10,04:21 AM,05:53 AM,12:39 PM,03:55 PM,07:24 PM,08:51 PM,11:53 PM
11,04:21 AM,05:53 AM,12:39 PM,03:56 PM,07:25 PM,08:51 PM,11:53 PM
12,04:21 AM,05:53 AM,12:39 PM,03:56 PM,07:25 PM,08:52 PM,11:53 PM
13,04:21 AM,05:53 AM,12:39 PM,03:57 PM,07:25 PM,08:52 PM,11:53 PM
14,04:21 AM,05:54 AM,12:40 PM,03:57 PM,07:26 PM,08:53 PM,11:54 PM
15,04:21 AM,05:54 AM,12:40 PM,03:57 PM,07:26 PM,08:53 PM,11:54 PM
16,04:21 AM,05:54 AM,12:40 PM,03:58 PM,07:26 PM,08:53 PM,11:54 PM
17,04:22 AM,05:54 AM,12:40 PM,03:58 PM,07:27 PM,08:54 PM,11:55 PM
18,04:22 AM,05:54 AM,12:41 PM,03:58 PM,07:27 PM,08:54 PM,11:55 PM
19,04:22 AM,05:54 AM,12:41 PM,03:58 PM,07:27 PM,08:54 PM,11:55 PM
20,04:22 AM,05:54 AM,12:41 PM,03:59 PM,07:27 PM,08:54 PM,11:55 PM
21,04:22 AM,05:55 AM,12:41 PM,03:59 PM,07:28 PM,08:55 PM,11:55 PM
22,04:22 AM,05:55 AM,12:41 PM,03:59 PM,07:28 PM,08:55 PM,11:55 PM
23,04:23 AM,05:55 AM,12:42 PM,03:59 PM,07:28 PM,08:55 PM,11:56 PM
24,04:23 AM,05:55 AM,12:42 PM,04:00 PM,07:28 PM,08:55 PM,11:56 PM
25,04:23 AM,05:56 AM,12:42 PM,04:00 PM,07:28 PM,08:55 PM,11:56 PM
26,04:24 AM,05:56 AM,12:42 PM,04:00 PM,07:29 PM,08:56 PM,11:57 PM
27,04:24 AM,05:56 AM,12:42 PM,04:00 PM,07:29 PM,08:56 PM,11:57 PM
28,04:24 AM,05:56 AM,12:43 PM,04:00 PM,07:29 PM,08:56 PM,11:57 PM
29,04:25 AM,05:57 AM,12:43 PM,04:00 PM,07:29 PM,08:56 PM,11:57 PM
30,04:25 AM,05:57 AM,12:43 PM,04:00 PM,07:29 PM,08:56 PM,11:57 PM
