Date,Fajr,Sunrise,Dhuhr,Asr,Maghrib,Isha,Midnight
01,05:42 AM,07:02 AM,12:52 PM,04:13 PM,06:43 PM,07:58 PM,12:13 AM
02,05:42 AM,07:01 AM,12:52 PM,04:13 PM,06:43 PM,07:58 PM,12:13 AM
03,05:41 AM,07:00 AM,12:52 PM,04:13 PM,06:44 PM,07:59 PM,12:13 AM
04,05:40 AM,06:59 AM,12:52 PM,04:13 PM,06:44 PM,07:59 PM,12:12 AM
05,05:39 AM,06:58 AM,12:51 PM,04:13 PM,06:45 PM,07:59 PM,12:12 AM
06,05:38 AM,06:57 AM,12:51 PM,04:14 PM,06:45 PM,08:00 PM,12:12 AM
07,05:37 AM,06:56 AM,12:51 PM,04:14 PM,06:46 PM,08:00 PM,12:12 AM
08,05:36 AM,06:56 AM,12:51 PM,04:14 PM,06:46 PM,08:01 PM,12:11 AM
09,05:36 AM,06:55 AM,12:50 PM,04:14 PM,06:46 PM,08:01 PM,12:11 AM
10,05:35 AM,06:54 AM,12:50 PM,04:14 PM,06:47 PM,08:01 PM,12:11 AM
11,05:34 AM,06:53 AM,12:50 PM,04:14 PM,06:47 PM,08:02 PM,12:11 AM
12,05:33 AM,06:52 AM,12:50 PM,04:14 PM,06:48 PM,08:02 PM,12:11 AM
13,05:32 AM,06:51 AM,12:49 PM,04:14 PM,06:48 PM,08:03 PM,12:10 AM
14,05:31 AM,06:50 AM,12:49 PM,04:13 PM,06:48 PM,08:03 PM,12:10 AM
15,05:30 AM,06:49 AM,12:49 PM,04:13 PM,06:49 PM,08:03 PM,12:10 AM
16,05:29 AM,06:48 AM,12:49 PM,04:13 PM,06:49 PM,08:04 PM,12:09 AM
17,05:28 AM,06:47 AM,12:48 PM,04:13 PM,06:50 PM,08:04 PM,12:09 AM
18,05:27 AM,06:46 AM,12:48 PM,04:13 PM,06:50 PM,08:05 PM,12:09 AM
19,05:26 AM,06:45 AM,12:48 PM,04:13 PM,06:50 PM,08:05 PM,12:08 AM
20,05:25 AM,06:44 AM,12:47 PM,04:13 PM,06:51 PM,08:06 PM,12:08 AM
21,05:24 AM,06:43 AM,12:47 PM,04:13 PM,06:51 PM,08:06 PM,12:08 AM
22,05:23 AM,06:42 AM,12:47 PM,04:13 PM,06:51 PM,08:06 PM,12:07 AM
23,05:22 AM,06:41 AM,12:47 PM,04:12 PM,06:52 PM,08:07 PM,12:07 AM
24,05:21 AM,06:40 AM,12:46 PM,04:12 PM,06:52 PM,08:07 PM,12:07 AM
25,05:20 AM,06:39 AM,12:46 PM,04:12 PM,06:53 PM,08:08 PM,12:07 AM
26,05:19 AM,06:38 AM,12:46 PM,04:12 PM,06:53 PM,08:08 PM,12:06 AM
27,05:18 AM,06:37 AM,12:45 PM,04:12 PM,06:53 PM,08:09 PM,12:06 AM
28,05:17 AM,06:36 AM,12:45 PM,04:12 PM,06:54 PM,08:09 PM,12:06 AM
29,05:16 AM,06:35 AM,12:45 PM,04:11 PM,06:54 PM,08:09 PM,12:05 AM
30,05:15 AM,06:35 AM,12:44 PM,04:11 PM,06:54 PM,08:10 PM,12:05 AM
31,05:14 AM,06:34 AM,12:44 PM,04:11 PM,06:55 PM,08:10 PM,12:05 AM
