Date,Fajr,Sunrise,Dhuhr,Asr,Maghrib,Isha,Midnight
01,04:42 AM,06:07 AM,12:37 PM,04:01 PM,07:07 PM,08:27 PM,11:55 PM
02,04:41 AM,06:06 AM,12:37 PM,04:01 PM,07:07 PM,08:28 PM,11:54 PM
03,04:40 AM,06:06 AM,12:37 PM,04:01 PM,07:08 PM,08:28 PM,11:54 PM
04,04:39 AM,06:05 AM,12:37 PM,04:00 PM,07:08 PM,08:29 PM,11:54 PM
05,04:39 AM,06:04 AM,12:36 PM,04:00 PM,07:09 PM,08:29 PM,11:54 PM
06,04:38 AM,06:04 AM,12:36 PM,04:00 PM,07:09 PM,08:30 PM,11:54 PM
07,04:37 AM,06:03 AM,12:36 PM,04:00 PM,07:10 PM,08:31 PM,11:54 PM
08,04:36 AM,06:02 AM,12:36 PM,03:59 PM,07:10 PM,08:31 PM,11:53 PM
09,04:35 AM,06:02 AM,12:36 PM,03:59 PM,07:10 PM,08:32 PM,11:53 PM
10,04:35 AM,06:01 AM,12:36 PM,03:59 PM,07:11 PM,08:33 PM,11:53 PM
11,04:34 AM,06:01 AM,12:36 PM,03:58 PM,07:11 PM,08:33 PM,11:53 PM
12,04:33 AM,06:00 AM,12:36 PM,03:58 PM,07:12 PM,08:34 PM,11:53 PM
13,04:32 AM,06:00 AM,12:36 PM,03:58 PM,07:12 PM,08:35 PM,11:52 PM
14,04:32 AM,05:59 AM,12:36 PM,03:58 PM,07:13 PM,08:35 PM,11:53 PM
15,04:31 AM,05:59 AM,12:36 PM,03:58 PM,07:13 PM,08:36 PM,11:52 PM
16,04:30 AM,05:58 AM,12:36 PM,03:57 PM,07:14 PM,08:37 PM,11:52 PM
17,04:30 AM,05:58 AM,12:36 PM,03:57 PM,07:14 PM,08:37 PM,11:52 PM
18,04:29 AM,05:57 AM,12:36 PM,03:57 PM,07:15 PM,08:38 PM,11:52 PM
19,04:28 AM,05:57 AM,12:36 PM,03:57 PM,07:15 PM,08:39 PM,11:52 PM
20,04:28 AM,05:57 AM,12:36 PM,03:57 PM,07:15 PM,08:39 PM,11:52 PM
21,04:27 AM,05:56 AM,12:36 PM,03:56 PM,07:16 PM,08:40 PM,11:52 PM
22,04:27 AM,05:56 AM,12:36 PM,03:56 PM,07:16 PM,08:40 PM,11:52 PM
23,04:26 AM,05:56 AM,12:36 PM,03:56 PM,07:17 PM,08:41 PM,11:52 PM
24,04:26 AM,05:55 AM,12:36 PM,03:56 PM,07:17 PM,08:42 PM,11:52 PM
25,04:25 AM,05:55 AM,12:36 PM,03:56 PM,07:18 PM,08:42 PM,11:52 PM
26,04:25 AM,05:55 AM,12:37 PM,03:56 PM,07:18 PM,08:43 PM,11:52 PM
27,04:25 AM,05:55 AM,12:37 PM,03:56 PM,07:19 PM,08:44 PM,11:52 PM
28,04:24 AM,05:54 AM,12:37 PM,03:55 PM,07:19 PM,08:44 PM,11:52 PM
29,04:24 AM,05:54 AM,12:37 PM,03:55 PM,07:20 PM,08:45 PM,11:52 PM
30,04:23 AM,05:54 AM,12:37 PM,03:55 PM,07:20 PM,08:45 PM,11:52 PM
31,04:23 AM,05:54 AM,12:37 PM,03:55 PM,07:20 PM,08:46 PM,11:52 PM
