Date,Fajr,Sunrise,Dhuhr,Asr,Maghrib,Isha,Midnight
01,05:24 AM,06:45 AM,12:23 PM,03:37 PM,06:02 PM,07:18 PM,11:43 PM
02,05:24 AM,06:45 AM,12:23 PM,03:37 PM,06:01 PM,07:18 PM,11:43 PM
03,05:25 AM,06:46 AM,12:23 PM,03:37 PM,06:01 PM,07:17 PM,11:43 PM
04,05:25 AM,06:46 AM,12:23 PM,03:36 PM,06:00 PM,07:17 PM,11:43 PM
05,05:26 AM,06:47 AM,12:23 PM,03:36 PM,06:00 PM,07:16 PM,11:43 PM
06,05:26 AM,06:47 AM,12:23 PM,03:36 PM,05:59 PM,07:16 PM,11:43 PM
07,05:27 AM,06:48 AM,12:23 PM,03:35 PM,05:59 PM,07:16 PM,11:43 PM
08,05:27 AM,06:49 AM,12:23 PM,03:35 PM,05:58 PM,07:15 PM,11:43 PM
09,05:28 AM,06:49 AM,12:23 PM,03:35 PM,05:58 PM,07:15 PM,11:43 PM
10,05:28 AM,06:50 AM,12:24 PM,03:34 PM,05:57 PM,07:14 PM,11:43 PM
11,05:29 AM,06:50 AM,12:24 PM,03:34 PM,05:57 PM,07:14 PM,11:43 PM
12,05:29 AM,06:51 AM,12:24 PM,03:34 PM,05:56 PM,07:14 PM,11:43 PM
13,05:30 AM,06:52 AM,12:24 PM,03:34 PM,05:56 PM,07:14 PM,11:43 PM
14,05:30 AM,06:52 AM,12:24 PM,03:33 PM,05:56 PM,07:13 PM,11:43 PM
15,05:31 AM,06:53 AM,12:24 PM,03:33 PM,05:55 PM,07:13 PM,11:43 PM
16,05:31 AM,06:54 AM,12:24 PM,03:33 PM,05:55 PM,07:13 PM,11:43 PM
17,05:32 AM,06:54 AM,12:24 PM,03:33 PM,05:55 PM,07:13 PM,11:44 PM
18,05:32 AM,06:55 AM,12:25 PM,03:33 PM,05:55 PM,07:13 PM,11:44 PM
19,05:33 AM,06:55 AM,12:25 PM,03:32 PM,05:54 PM,07:12 PM,11:44 PM
20,05:33 AM,06:56 AM,12:25 PM,03:32 PM,05:54 PM,07:12 PM,11:44 PM
21,05:34 AM,06:57 AM,12:25 PM,03:32 PM,05:54 PM,07:12 PM,11:44 PM
22,05:34 AM,06:57 AM,12:26 PM,03:32 PM,05:54 PM,07:12 PM,11:44 PM
23,05:35 AM,06:58 AM,12:26 PM,03:32 PM,05:54 PM,07:12 PM,11:45 PM
24,05:36 AM,06:59 AM,12:26 PM,03:32 PM,05:53 PM,07:12 PM,11:45 PM
25,05:36 AM,06:59 AM,12:26 PM,03:32 PM,05:53 PM,07:12 PM,11:45 PM
26,05:37 AM,07:00 AM,12:27 PM,03:32 PM,05:53 PM,07:12 PM,11:45 PM
27,05:37 AM,07:01 AM,12:27 PM,03:32 PM,05:53 PM,07:12 PM,11:45 PM
28,05:38 AM,07:02 AM,12:27 PM,03:32 PM,05:53 PM,07:12 PM,11:46 PM
29,05:38 AM,07:02 AM,12:28 PM,03:32 PM,05:53 PM,07:12 PM,11:46 PM
30,05:39 AM,07:03 AM,12:28 PM,03:32 PM,05:53 PM,07:12 PM,11:46 PM
