Date,Fajr,Sunrise,Dhuhr,Asr,Maghrib,Isha,Midnight
01,05:12 AM,06:32 AM,12:29 PM,03:53 PM,06:26 PM,07:41 PM,11:49 PM
02,05:12 AM,06:32 AM,12:29 PM,03:53 PM,06:26 PM,07:41 PM,11:49 PM
03,05:13 AM,06:32 AM,12:29 PM,03:53 PM,06:26 PM,07:41 PM,11:50 PM
04,05:13 AM,06:32 AM,12:29 PM,03:52 PM,06:25 PM,07:40 PM,11:49 PM
05,05:14 AM,06:33 AM,12:28 PM,03:51 PM,06:24 PM,07:39 PM,11:49 PM
06,05:14 AM,06:33 AM,12:28 PM,03:51 PM,06:23 PM,07:38 PM,11:49 PM
07,05:14 AM,06:33 AM,12:28 PM,03:50 PM,06:22 PM,07:37 PM,11:48 PM
08,05:15 AM,06:34 AM,12:27 PM,03:50 PM,06:21 PM,07:36 PM,11:48 PM
09,05:15 AM,06:34 AM,12:27 PM,03:49 PM,06:20 PM,07:35 PM,11:48 PM
10,05:15 AM,06:35 AM,12:27 PM,03:49 PM,06:19 PM,07:34 PM,11:47 PM
11,05:16 AM,06:35 AM,12:27 PM,03:48 PM,06:18 PM,07:33 PM,11:47 PM
12,05:16 AM,06:35 AM,12:26 PM,03:48 PM,06:18 PM,07:32 PM,11:47 PM
13,05:16 AM,06:36 AM,12:26 PM,03:47 PM,06:17 PM,07:32 PM,11:47 PM
14,05:17 AM,06:36 AM,12:26 PM,03:46 PM,06:16 PM,07:31 PM,11:47 PM
15,05:17 AM,06:37 AM,12:26 PM,03:46 PM,06:15 PM,07:30 PM,11:46 PM
16,05:18 AM,06:37 AM,12:25 PM,03:45 PM,06:14 PM,07:29 PM,11:46 PM
17,05:18 AM,06:37 AM,12:25 PM,03:45 PM,06:13 PM,07:28 PM,11:46 PM
18,05:18 AM,06:38 AM,12:25 PM,03:44 PM,06:12 PM,07:27 PM,11:45 PM
19,05:19 AM,06:38 AM,12:25 PM,03:44 PM,06:11 PM,07:27 PM,11:45 PM
20,05:19 AM,06:39 AM,12:25 PM,03:43 PM,06:11 PM,07:26 PM,11:45 PM
21,05:19 AM,06:39 AM,12:24 PM,03:43 PM,06:10 PM,07:25 PM,11:45 PM
22,05:20 AM,06:40 AM,12:24 PM,03:42 PM,06:09 PM,07:24 PM,11:45 PM
23,05:20 AM,06:40 AM,12:24 PM,03:42 PM,06:08 PM,07:24 PM,11:44 PM
24,05:21 AM,06:41 AM,12:24 PM,03:41 PM,06:08 PM,07:23 PM,11:45 PM
25,05:21 AM,06:41 AM,12:24 PM,03:41 PM,06:07 PM,07:22 PM,11:44 PM
26,05:21 AM,06:41 AM,12:24 PM,03:40 PM,06:06 PM,07:22 PM,11:44 PM
27,05:22 AM,06:42 AM,12:24 PM,03:40 PM,06:05 PM,07:21 PM,11:44 PM
28,05:22 AM,06:42 AM,12:24 PM,03:39 PM,06:05 PM,07:21 PM,11:44 PM
29,05:23 AM,06:43 AM,12:23 PM,03:39 PM,06:04 PM,07:20 PM,11:44 PM
30,05:23 AM,06:44 AM,12:23 PM,03:38 PM,06:03 PM,07:19 PM,11:43 PM
31,05:23 AM,06:44 AM,12:23 PM,03:38 PM,06:03 PM,07:19 PM,11:43 PM
