Date,Fajr,Sunrise,Dhuhr,Asr,Maghrib,Isha,Midnight
01,05:01 AM,06:22 AM,12:40 PM,04:07 PM,06:57 PM,08:14 PM,11:59 PM
02,05:01 AM,06:22 AM,12:40 PM,04:07 PM,06:57 PM,08:14 PM,11:59 PM
03,05:02 AM,06:23 AM,12:39 PM,04:06 PM,06:56 PM,08:13 PM,11:59 PM
04,05:02 AM,06:23 AM,12:39 PM,04:06 PM,06:55 PM,08:11 PM,11:59 PM
05,05:02 AM,06:23 AM,12:39 PM,04:06 PM,06:54 PM,08:10 PM,11:58 PM
06,05:03 AM,06:24 AM,12:38 PM,04:05 PM,06:53 PM,08:09 PM,11:58 PM
07,05:03 AM,06:24 AM,12:38 PM,04:05 PM,06:52 PM,08:08 PM,11:58 PM
08,05:04 AM,06:24 AM,12:38 PM,04:05 PM,06:51 PM,08:07 PM,11:58 PM
09,05:04 AM,06:25 AM,12:37 PM,04:04 PM,06:50 PM,08:06 PM,11:57 PM
10,05:05 AM,06:25 AM,12:37 PM,04:04 PM,06:49 PM,08:05 PM,11:57 PM
11,05:05 AM,06:25 AM,12:37 PM,04:03 PM,06:48 PM,08:04 PM,11:57 PM
12,05:05 AM,06:25 AM,12:36 PM,04:03 PM,06:47 PM,08:03 PM,11:56 PM
13,05:06 AM,06:26 AM,12:36 PM,04:03 PM,06:46 PM,08:02 PM,11:56 PM
14,05:06 AM,06:26 AM,12:36 PM,04:02 PM,06:45 PM,08:01 PM,11:56 PM
15,05:07 AM,06:26 AM,12:35 PM,04:02 PM,06:44 PM,07:59 PM,11:56 PM
16,05:07 AM,06:27 AM,12:35 PM,04:01 PM,06:43 PM,07:58 PM,11:55 PM
17,05:07 AM,06:27 AM,12:34 PM,04:01 PM,06:42 PM,07:57 PM,11:55 PM
18,05:08 AM,06:27 AM,12:34 PM,04:00 PM,06:41 PM,07:56 PM,11:55 PM
19,05:08 AM,06:28 AM,12:34 PM,04:00 PM,06:40 PM,07:55 PM,11:54 PM
20,05:08 AM,06:28 AM,12:33 PM,03:59 PM,06:39 PM,07:54 PM,11:54 PM
21,05:09 AM,06:28 AM,12:33 PM,03:59 PM,06:38 PM,07:53 PM,11:54 PM
22,05:09 AM,06:28 AM,12:33 PM,03:58 PM,06:37 PM,07:52 PM,11:53 PM
23,05:10 AM,06:29 AM,12:32 PM,03:58 PM,06:36 PM,07:51 PM,11:53 PM
24,05:10 AM,06:29 AM,12:32 PM,03:57 PM,06:35 PM,07:50 PM,11:53 PM
25,05:10 AM,06:29 AM,12:32 PM,03:57 PM,06:34 PM,07:49 PM,11:52 PM
26,05:11 AM,06:30 AM,12:31 PM,03:56 PM,06:33 PM,07:48 PM,11:52 PM
27,05:11 AM,06:30 AM,12:31 PM,03:56 PM,06:32 PM,07:47 PM,11:52 PM
28,05:11 AM,06:30 AM,12:31 PM,03:55 PM,06:31 PM,07:46 PM,11:51 PM
29,05:12 AM,06:31 AM,12:30 PM,03:55 PM,06:30 PM,07:45 PM,11:51 PM
30,05:12 AM,06:31 AM,12:30 PM,03:54 PM,06:29 PM,07:44 PM,11:51 PM
